Rk,Player,Tm,Age,Pos,G,GS,Rec,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
166,Gregg Garrity,PHI,28,WR,9,4,17,208,12.2,1,20,,1.9,23.1,0,GarrGr00
167,Bob Perryman,NWE,24,FB,16,16,17,134,7.9,0,18,,1.1,8.4,4,PerrBo00
168,Sammy Winder,DEN,29,FB,16,12,17,103,6.1,1,14,,1.1,6.4,1,WindSa00
169,Tony Dorsett,DEN,34,RB,16,13,16,122,7.6,0,16,,1,7.6,6,DorsTo00
170,John Frank,SFO,26,TE,7,6,16,195,12.2,3,38,,2.3,27.9,0,FranJo00
171,Willie Gault,RAI,28,WR,15,6,16,392,24.5,2,57,,1.1,26.1,1,GaulWi00
172,Buford McGee,RAM,28,FB,16,10,16,117,7.3,3,16,,1,7.3,0,McGeBu00
173,Darrin Nelson,MIN,29,RB,13,11,16,105,6.6,0,27,,1.2,8.1,3,NelsDa00
174,Brett Perriman,NOR,23,WR,16,0,16,215,13.4,2,33,,1,13.4,1,PerrBr00
175,Jeff Smith,TAM,26,RB,16,3,16,134,8.4,0,22,,1,8.4,0,SmitJe00
176,Weegie Thompson,PIT,27,WR,16,11,16,370,23.1,1,50,,1,23.1,0,ThomWe00
177,Ken Whisenhunt,ATL,26,TE,16,16,16,174,10.9,1,25,,1,10.9,1,WhisKe00
178,Todd Christensen,RAI,32,TE,7,5,15,190,12.7,0,22,,2.1,27.1,0,ChriTo00
179,Wendell Davis,CHI,22,WR,16,0,15,220,14.7,0,36,,0.9,13.8,2,DaviWe00
180,Rick Fenney,MIN,24,RB,13,3,15,224,14.9,0,42,,1.2,17.2,0,FennRi00
181,Everett Gay,DAL,24,WR,16,0,15,205,13.7,1,25,,0.9,12.8,1,GayxEv00
182,Jim Gustafson,MIN,27,WR,16,0,15,231,15.4,1,47,,0.9,14.4,0,GustJi00
183,Zeke Mowatt,NYG,27,TE,16,3,15,196,13.1,1,38,,0.9,12.3,2,MowaZe00
184,Mike Oliphant,WAS,25,RB,8,0,15,111,7.4,0,16,,1.9,13.9,2,OlipMi00
185,Frank Pillow,TAM,23,WR,15,0,15,206,13.7,1,34,,1,13.7,0,PillFr00
186,James Thornton,CHI,23,TE,16,12,15,135,9,0,19,,0.9,8.4,1,ThorJa00
187,James Wilder,TAM,30,FB,7,7,15,124,8.3,0,24,,2.1,17.7,1,WildJa00
188,Billy Griggs,NYJ,26,TE,15,8,14,133,9.5,0,21,,0.9,8.9,1,GrigBi00
189,Ron Heller,SFO,25,TE,16,9,14,140,10,0,22,,0.9,8.8,0,HellRo00
190,Craig James,NWE,27,RB,6,0,14,171,12.2,0,32,,2.3,28.5,0,JameCr00
191,Emery Moorehead,CHI,34,TE,13,4,14,133,9.5,2,28,,1.1,10.2,0,MoorEm00
192,John Stephens*,NWE,22,RB,16,14,14,98,7,0,17,,0.9,6.1,3,StepJo00
193,John Taylor*,SFO,26,WR,12,3,14,325,23.2,2,73,,1.2,27.1,6,TaylJo00
194,Pat Carter,DET,22,TE,15,14,13,145,11.2,0,31,,0.9,9.7,0,CartPa00
195,Cris Collinsworth,CIN,29,WR,13,0,13,227,17.5,1,36,,1,17.5,1,CollCr00
196,Michael Haynes,ATL,23,WR,15,6,13,232,17.8,4,49,,0.9,15.5,0,HaynMi00
